id,mysociety_id
N06000001,N06000002 N06000003 N06000004 N06000013 N06000016 N06000015 N06000009
N06000002,N06000001 N06000003 N06000004 N06000005 N06000014 N06000009
N06000003,N06000001 N06000001 N06000004 N06000013 N06000015 N06000009 N06000015 N06000014
N06000004,N06000002 N06000003 N06000001 N06000005 N06000014 N06000009 N06000017 N06000015
N06000005,N06000014 N06000012 N06000001 N06000002 N06000003 N06000004
N06000007,N06000018 N06000010 N06000011 N06000017
N06000006,N06000012 N06000010 N06000018 N06000008
N06000008,N06000006 N06000010 N06000018
N06000009,N06000001 N06000002 N06000003 N06000004 N06000016 N06000015 N06000017
N06000010,N06000006 N06000007 N06000008 N06000018 N06000012 N06000014 N06000017
N06000011,N06000017 N06000015 N06000007
N06000012,N06000005 N06000014 N06000010 N06000006
N06000013,N06000016 N06000001 N06000002 N06000003 N06000004
N06000014,N06000002 N06000004 N06000009 N06000005 N06000012 N06000010
N06000015,N06000016 N06000009 N06000017 N06000011 N06000003
N06000016,N06000013 N06000001 N06000002 N06000003 N06000004 N06000009 N06000015
N06000017,N06000014 N06000009 N06000015 N06000011 N06000007 N06000010
N06000018,N06000008 N06000006 N06000010 N06000007
E14000762,E14000713 E14000883 E14000884 E14000699 E14000827 E14000828 E14000685 E14000955 E14000956
W07000041,W07000057 W07000061 W07000058 W07000059 W07000060
S14000005,S14000055 S14000027 S14000057 S14000048 S14000059 S14000038 S14000053 S14000052
S14000027,S14000055 S14000009 S14000005 S14000051
S14000051,S14000009 S14000039 S14000046 S14000007 S14000037
S14000055,S14000027 S14000009 S14000039 S14000005 S14000054 S14000051
