id	votes	electorate	winner	Green	DUP	SF	APNI	SDLP	Ind1	Ind2	TUV	UCUNF
N06000001	34488	59007	Alliance		11306	817	12839	365			1856	7305
N06000002	36993	65504	DUP		14812	12588	1809	4544	403			2837
N06000003	34186	59524	SDLP	1036	8100		5114	14026				5910
N06000004	22951	61441	SF		1393	16211	122	3088				386
N06000005	30502	60204	DUP		13993	2064	3377	2019			1826	7223
N06000006	34950	63220	DUP		12097	6742	1922	5399			2572	6218
N06000007	46803	67908	SF			21304	437	3574	21300	188
N06000008	37889	65843	SDLP		4489	12098	223	16922				1221
N06000009	36540	65257	DUP		18199	1465	4174	1835			3154	7713
N06000010	37208	67192	SF		0	17462	487	6478	12781		0	0
N06000011	44906	74308	SF		5764	18857	545	10526	656			8558
N06000012	42397	73338	DUP		19672	5265	1368	3738			7114	4634
N06000013	33481	60698	Ind1	1043		250	1876	680	21181		1634	6817
N06000014	34009	63054	DUP		11536	4729	2607	2955			1829	10353
N06000015	42589	70784	SDLP	901	3645	12236	560	20648			1506	3093
N06000016	32505	60539	DUP	562	14926	1161	2828	2164			1814	9050
N06000017	41383	74732	DUP		14000	10237	1231	5276				10639
N06000018	37275	61148	SF		7365	18050	859	5212	508			5281
